V1,V2,V3,V4,V7,V14
2023,8,8,22,11.7,16.5
2023,8,8,23,13.4,16.2
2023,8,9,0,14.2,16.3
2023,8,9,1,13.8,15.5
2023,8,9,2,11.9,15.1
2023,8,9,3,9.3,16.2
2023,8,9,4,8,17.2
2023,8,9,5,7.5,16.6
2023,8,9,6,6.8,16.7
2023,8,9,7,2.4,14.9
2023,8,9,8,3.9,15.4
2023,8,9,9,6.8,13.5
2023,8,9,10,7.5,13.3
2023,8,9,11,7.1,13.9
2023,8,9,12,7.3,14.9
2023,8,9,13,7,13.9
2023,8,9,14,5,13.4
2023,8,9,15,7.3,14.7
2023,8,9,16,7.3,14.8
2023,8,9,17,6.9,15
2023,8,9,18,8.6,17.5
2023,8,9,19,9.3,18.4
2023,8,9,20,9.2,18.7
2023,8,9,21,8.1,18.2
2023,8,9,22,5.8,16.7
2023,8,9,23,5.4,18.6
2023,8,10,0,8.1,17.3
2023,8,10,1,8,17.2
2023,8,10,2,7.8,16.4
2023,8,10,3,5.6,15.4
2023,8,10,4,8.9,18
2023,8,10,5,9.1,16.4
2023,8,10,6,8.9,14.8
2023,8,10,7,9.2,17.6
2023,8,10,8,6.6,16.8
2023,8,10,9,7.7,15.2
2023,8,10,10,6.3,15.4
2023,8,10,11,7.2,15.1
2023,8,10,12,5.7,15.1
2023,8,10,13,6.8,15.4
2023,8,10,14,6.5,16.9
2023,8,10,15,5.8,16.4
2023,8,10,16,6.1,16.5
2023,8,10,17,6,17.1
2023,8,10,18,6.2,17.2
2023,8,10,19,7.1,18
2023,8,10,20,7.2,17.9
2023,8,10,21,8.2,16.7
2023,8,10,22,7,17.3
2023,8,10,23,8.1,16.3
2023,8,11,0,8,16.8
2023,8,11,1,7.6,16.9
2023,8,11,2,8.1,17.3
2023,8,11,3,8.8,17.1
2023,8,11,4,9.1,16.5
2023,8,11,5,10.1,16.7
2023,8,11,6,10.3,17.1
2023,8,11,7,12.6,16.4
2023,8,11,8,10.1,16.2
2023,8,11,9,9.9,16.2
2023,8,11,10,10,15.7
2023,8,11,11,8.5,16.1
2023,8,11,12,7.4,14.5
2023,8,11,13,7.9,14.4
2023,8,11,14,8.7,14.6
2023,8,11,15,7.4,15.6
2023,8,11,16,6.8,15
2023,8,11,17,8.9,15.2
2023,8,11,18,10.7,15.5
2023,8,11,19,9.8,15.5
2023,8,11,20,11,15.9
2023,8,11,21,10.4,16.5
2023,8,11,22,10.1,16.4
2023,8,11,23,9.5,16.4
2023,8,12,0,11.2,17
2023,8,12,1,9.3,18.5
2023,8,12,2,10.1,18
2023,8,12,3,10,16.8
2023,8,12,4,9.1,17.4
2023,8,12,5,7.8,16
2023,8,12,6,9.7,17
2023,8,12,7,9.6,15.9
2023,8,12,8,6.8,15.6
2023,8,12,9,6.6,15.6
2023,8,12,10,7.5,15.2
2023,8,12,11,8.3,15.4
2023,8,12,12,7.1,15.4
2023,8,12,13,5.5,15.6
2023,8,12,14,4.6,15.3
2023,8,12,15,4.7,16
2023,8,12,16,6.6,15.9
2023,8,12,17,5.9,16.1
2023,8,12,18,7.5,17.4
2023,8,12,19,7.1,17.6
2023,8,12,20,6.6,18.4
2023,8,12,21,7,17.9
2023,8,12,22,7.1,18.2
2023,8,12,23,5.2,17.9
2023,8,13,0,5.2,17.8
2023,8,13,1,5,17.7
2023,8,13,2,5.7,17.7
2023,8,13,3,5.6,17.7
2023,8,13,4,5.8,17.8
2023,8,13,5,5.5,17.9
2023,8,13,6,7.2,17.5
2023,8,13,7,8.4,17.6
2023,8,13,8,9.8,17.4
2023,8,13,9,8.1,17.7
2023,8,13,10,10,18.3
2023,8,13,11,10.6,18.4
2023,8,13,12,9.3,18.1
2023,8,13,13,8.9,17.7
2023,8,13,14,8.2,17.1
2023,8,13,15,9.8,18.2
2023,8,13,16,9.5,18
2023,8,13,17,9.7,18.4
2023,8,13,18,9.1,18.7
2023,8,13,19,8.4,18.3
2023,8,13,20,7.3,17.9
2023,8,13,21,7.2,18
2023,8,13,22,10.8,18.1
2023,8,13,23,5.6,17.5
2023,8,14,0,4.4,18.3
2023,8,14,1,1.1,17.4
2023,8,14,2,1.8,16.6
2023,8,14,3,2.2,16.7
2023,8,14,4,3.3,17.4
2023,8,14,5,5.1,14.8
2023,8,14,6,5.1,16.2
2023,8,14,7,5.3,16.2
2023,8,14,8,4.9,16.7
2023,8,14,9,5.1,16
2023,8,14,10,6.3,14.8
2023,8,14,11,3.6,14.8
2023,8,14,12,3.9,15.6
2023,8,14,13,4.8,15.5
2023,8,14,14,5.5,16
2023,8,14,15,6.3,16.3
2023,8,14,16,6.6,16.5
2023,8,14,17,6.4,17.2
2023,8,14,18,7.9,16.9
2023,8,14,19,8.5,16.7
2023,8,14,20,9,17.9
2023,8,14,21,6.9,17.5
2023,8,14,22,8.1,18.1
2023,8,14,23,7.6,16.8
2023,8,15,0,7.7,17.1
2023,8,15,1,7.5,16.9
2023,8,15,2,5.7,16.5
2023,8,15,3,3,16.3
2023,8,15,4,5.7,16.5
2023,8,15,5,5.1,16.2
2023,8,15,6,5.1,17.2
2023,8,15,7,3.9,17.1
2023,8,15,8,3.5,18.2
2023,8,15,9,2.7,18.1
2023,8,15,10,2.6,18.5
2023,8,15,11,1.6,17.9
2023,8,15,12,2.8,17.7
2023,8,15,13,2.3,18.1
2023,8,15,14,2.2,18.4
2023,8,15,15,0.9,17.9
2023,8,15,16,2.4,17.3
2023,8,15,17,2.6,17.3
2023,8,15,18,4.5,16.5
2023,8,15,19,4.7,17.7
2023,8,15,20,4.3,16.8
2023,8,15,21,3.2,17
2023,8,15,22,3.5,17.2
2023,8,15,23,2.4,17.2
2023,8,16,0,2.1,16.1
2023,8,16,1,1.4,16
2023,8,16,2,1,16.8
2023,8,16,3,0.7,16.8
2023,8,16,4,0.5,16.5
2023,8,16,5,0.6,15.1
2023,8,16,6,0.9,15.4
2023,8,16,7,0.9,15.4
2023,8,16,8,1.6,16
2023,8,16,9,0.8,16.1
2023,8,16,10,2.3,16
2023,8,16,11,2.8,16.2
2023,8,16,12,2.7,16.3
2023,8,16,13,2.3,16.4
2023,8,16,14,1.3,16.6
2023,8,16,15,0.1,17
2023,8,16,16,3.9,14.9
2023,8,16,17,4.1,14.1
2023,8,16,18,3.4,14.3
2023,8,16,19,3.1,14.6
2023,8,16,20,2.9,15.5
2023,8,16,21,3.1,15.8
2023,8,16,22,0.1,17.1
2023,8,16,23,1.2,16.5
2023,8,17,0,0.2,15.8
2023,8,17,1,1.8,15.3
2023,8,17,2,1.9,16.3
2023,8,17,3,0.6,16.2
2023,8,17,4,0.8,16
2023,8,17,5,2.2,17.1
2023,8,17,6,2.2,17.5
2023,8,17,7,1.6,17.4
2023,8,17,8,2.1,17.4
2023,8,17,9,2.1,16.5
2023,8,17,10,2.9,16.4
2023,8,17,11,6.2,16.9
2023,8,17,12,6.5,17.1
2023,8,17,13,6.4,17.2
2023,8,17,14,5.8,17.9
2023,8,17,15,4.9,18.4
2023,8,17,16,5.8,18.6
2023,8,17,17,5.1,18.4
2023,8,17,18,5.3,18.6
2023,8,17,19,6.3,18.2
2023,8,17,20,6,18.2
2023,8,17,21,6.7,18.3
2023,8,17,22,5.9,18
2023,8,17,23,5.7,17.8
